1,Johann Michael Franz Birnbaum,1792-09-19,1877-12-14,deutscher Rechtsgelehrter und Dramatiker,49.89167,10.89167,Q111873,http://commons.wikimedia.org/wiki/Special:FilePath/Michael-franz-birnbaum.jpg,Karl von Gareis,Public domain,1878
2,Andreas May,1817-11-12,1899-01-07,deutscher Jurist und Dramatiker (1817–1899),49.89167,10.89167,Q18744497,http://commons.wikimedia.org/wiki/Special:FilePath/Andreas%20May%20by%20Paul%20Heyse.jpg,Paul Heyse (1830–1914),Public domain,1900
3,Julius Maria Becker,1887-03-29,1949/7/26,deutscher Dramatiker und Lyriker,49.97575,9.1478,Q1712823,http://commons.wikimedia.org/wiki/Special:FilePath/SSAA-BeckerJM.jpg,Foto Alfen 1949,CC BY-SA 3.0,2012
5,Traudl Bogenhauser,1951/1/1,NULL,deutsche Schauspielerin,47.85611,12.12889,Q95210842,NULL,NULL,NULL,NULL
6,Johann Narhamer,1520-01-01,NULL,NULL,50.31667,11.91667,Q94782385,NULL,NULL,NULL,NULL
7,Karl Schikaneder,1773-08-24,1845-03-25,"Schikaneder, Josef Karl | 24. August 1773 in Regensburg | † 25. März 1845 in Prag | Sänger (Bassbuffo), Schauspieler, Regisseur, … | Wien, Brünn, Prag |",48.40278,11.74889,Q55127607,NULL,NULL,NULL,NULL
8,Emanuel Schikaneder,1751-09-01,1812-09-21,"Schauspieler, Sänger, Regisseur, Dichter und Theaterdirektor",48.87722,12.57583,Q213547,http://commons.wikimedia.org/wiki/Special:FilePath/Emanuel%20Schikaneder.jpg,NULL,Public domain,NULL
9,Friedrich Brandl,1946/1/1,NULL,deutscher Mundartdichter,49.44444,11.84833,Q1383841,NULL,NULL,NULL,NULL
10,Henri Augu,1817-12-24,1907/5/16,NULL,49.19944,8.12306,Q105749418,http://commons.wikimedia.org/wiki/Special:FilePath/Augu%2C%20Henri.jpg,NULL,Public domain,before 1907
11,Theodor Rhodius,1572-01-01,1625-08-19,deutscher lutherischer Pfarrer und neulateinischer Dramatiker,49.19944,8.12306,Q18223654,NULL,NULL,NULL,NULL
12,Hans Magnus Enzensberger,1929/11/11,2022/11/24,"deutscher Dichter, Schriftsteller und Redakteur (1929–2022)",47.88,10.6225,Q44584,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Magnus%20Enzensberger.JPG,"Mariusz Kubik, Kmarius, [1]",CC BY 2.5,2006
13,Carl Friedrich Wittmann,1839-03-24,1903/3/17,"deutscher Schriftsteller, Schauspieler und Intendant",50.25847,10.95787,Q59626554,NULL,NULL,NULL,NULL
14,Johann Wilhelm Rose,1742-10-23,1801-10-09,NULL,49.3,10.58333,Q94869623,NULL,NULL,NULL,NULL
15,Friedrich Julius Heinrich von Soden,1754-12-04,1831-07-13,Schriftsteller,49.3,10.58333,Q103911,NULL,NULL,NULL,NULL
16,August von Platen-Hallermünde,1796-10-24,1835-12-05,deutscher Dichter,49.3,10.58333,Q62432,http://commons.wikimedia.org/wiki/Special:FilePath/August%20von%20Platen%20by%20Moritz%20Rugendas.jpg,Johann Moritz Rugendas,Public domain,circa 1830
17,Dietrich Eckart,1868-03-23,1923/12/26,"deutscher Publizist, sowie Weggefährte und väterlicher Freund Adolf Hitlers",49.28333,11.46667,Q60259,http://commons.wikimedia.org/wiki/Special:FilePath/Dietrich%20Eckart.jpg,NULL,Public domain,1943
18,Anja Tuckermann,1961/11/24,NULL,deutsche Kinder- und Jugendbuchautorin und Journalistin,50.16667,12.13333,Q551308,NULL,NULL,NULL,NULL
19,Ferdinand Bonn,1861-12-20,1933/9/24,deutscher Schauspieler,48.71843,10.77699,Q327593,http://commons.wikimedia.org/wiki/Special:FilePath/Bonn%20Ferdinand.jpg,Wiener Bilder,Public domain,1901
20,Klaus Pohl,1952/3/30,NULL,"deutscher Schauspieler, Theaterregisseur und Dramatiker",49.37722,10.17889,Q1745566,NULL,NULL,NULL,NULL
21,Albert Bosper,1913/3/16,NULL,NULL,47.54583,9.68389,Q95223221,NULL,NULL,NULL,NULL
22,Georg Maier,1941/9/27,2021/1/1,"deutscher Theaterintendant, Autor, Regisseur, Gastwirt, Volks- und Theaterschauspieler",48.04831,11.53169,Q1505307,http://commons.wikimedia.org/wiki/Special:FilePath/Georg%20Maier.JPG,Dieter Schnöpf,CC BY-SA 3.0,2014
23,Werner Fritsch,1960/5/4,NULL,deutscher Schriftsteller,50,12.3,Q107087,http://commons.wikimedia.org/wiki/Special:FilePath/Werner%20Fritsch.jpg,Werner Fritsch,CC BY-SA 4.0,2021
24,Rudolf Sellner,1905/5/25,1990/5/8,deutscher Regisseur und Theaterleiter,47.86833,12.64333,Q1436870,NULL,NULL,NULL,NULL
25,Dea Loher,1964/4/20,NULL,deutsche Dramatikerin und Prosaautorin,47.86833,12.64333,Q72224,http://commons.wikimedia.org/wiki/Special:FilePath/DeaLoher1010023.JPG,manfred.sause@volloeko.de,CC BY-SA 3.0,2012
26,Christoph Nußbaumeder,1978/1/1,NULL,deutscher Dramatiker und Autor,48.40389,12.76417,Q1085600,NULL,NULL,NULL,NULL
